"q_id","game_id","answer","image_url"
"497","1","Вперёд",
"499","1","Дракула",
"501","1","Линкольн для адвоката",
"503","1","Боец",
"504","1","Красный Дракон",
"506","1","Большой Лебовски",
"512","1","Идентификация Борна",
"517","1","Старикам тут не место",
"523","1","Исходный код",
"524","1","История игрушек 2",
"527","1","Марли и я",
"528","1","Район №9",
"529","1","Мумия",
"530","1","Ральф",
"536","1","Крепкий орешек 2",
"541","1","Мост в Терабитию",
"544","1","Залечь на дно в Брюгге",
"545","1","О чём говорят мужчины",
"548","1","Пленницы",
"549","1","Пиджак",
"550","1","Гарри Поттер и Орден Феникса",
"551","1","Казино Рояль",
"553","1","Один день",
"554","1","Ультиматум Борна",
"558","1","Особое мнение",
"559","1","Звездный путь",
"561","1","Полночь в Париже",
"567","1","Гадкий я",
"577","1","Люди Икс: Первый класс",
"580","1","12 лет рабства",
"589","1","Поезд на Юму",
"590","1","Час пик",
"591","1","Миллионер из трущоб",
"592","1","Бесславные ублюдки",
"593","1","Бэтмен: Начало",
"596","1","Реальная любовь",
"597","1","Уроки фарси",
"598","1","Волк с Уолл-стрит",
"599","1","В августе 44-го",
"609","1","5 сантиметров в секунду",
"612","1","Отель «Гранд Будапешт»",
"614","1","Эквилибриум",
"616","1","Дюна",
"620","1","Помни",
"622","1","Спеши любить",
"626","1","Девушка с татуировкой дракона",
"630","1","Опасная игра Слоун",
"631","1","Дикие истории",
"633","1","Маленькие женщины",
"634","1","Марсианин",
"636","1","Парфюмер: История одного убийцы",
"638","1","Коралина в Стране Кошмаров",
"639","1","Влюбись в меня, если осмелишься",
"641","1","Аритмия",
"644","1","P.S. Я люблю тебя",
"645","1","Талантливый мистер Рипли",
"648","1","Превосходство Борна",
"650","1","Звездная пыль",
"653","1","Расплата",
"655","1","Как приручить дракона 3",
"660","1","Люди Икс",
"662","1","Хороший год",
"663","1","Комната",
"664","1","Темные воды",
"669","1","Шрэк 2",
"670","1","Человек, который изменил всё",
"673","1","Невероятная жизнь Уолтера Митти",
"678","1","Скрытые фигуры",
"681","1","Бегущий по лезвию 2049",
"693","1","Битва за Севастополь",
"694","1","13-й район",
"702","1","Назови меня своим именем",
"704","1","Другой мир",
"706","1","Добрыня Никитич и Змей Горыныч",
"718","1","Операция «Арго»",
"722","1","Ветреная река",
"729","1","Дэдпул",
"742","1","Время первых",
"743","1","Миссия: невыполнима",
"746","1","Основатель",
"755","1","Доктор Стрэндж",
"763","1","Поиск",
"765","1","Семейка Крудс: Новоселье",
"766","1","Железный человек 2",
"768","1","Левша",
"773","1","Железный человек 3",
"776","1","Самый пьяный округ в мире",
"783","1","Выстрел в пустоту",
"788","1","Братья",
"801","1","Ворошиловский стрелок",
"808","1","Выживший",
"812","1","Рок-н-рольщик",
"813","1","«V» значит Вендетта",
"816","1","Жизнь Пи",
"817","1","На гребне волны",
"818","1","Пила: Игра на выживание",
"819","1","Шоколад",
"821","1","История игрушек: Большой побег",
"823","1","Черный ястреб",
"825","1","Безумный Макс: Дорога ярости",
"828","1","Дежавю",
"838","1","Виноваты звезды",
"839","1","Враг государства",
"842","1","Таинственная река",
"845","1","Учитель на замену",
"847","1","Не пойман — не вор",
"848","1","Кровавый алмаз",
"851","1","Хоббит: Битва пяти воинств",
"855","1","Великий Гэтсби",
"857","1","Страх и ненависть в Лас-Вегасе",
"858","1","С любовью, Рози",
"865","1","Авиатор",
"866","1","Донни Дарко",
"881","1","Стажёр",
"882","1","Я – начало",
"884","1","Форсаж 5",
"886","1","Виноваты звезды",
"887","1","Враг государства",
"890","1","Таинственная река",
"893","1","Учитель на замену",
"896","1","Не пойман — не вор",
"898","1","Хоббит: Битва пяти воинств",
"899","1","Кровавый алмаз",
"906","1","Без лица",
"908","1","10 причин моей ненависти",
"909","1","Мегамозг",
"918","1","Довод",
"922","1","Луна 2112",
"925","1","Служанка",
"928","1","Лабиринт Фавна",
"930","1","Погребенный заживо",
"933","1","Эта дурацкая любовь",
"954","1","Логан",
"955","1","Звездный десант",
"957","1","Трансформеры",
"958","1","Еще по одной",
"959","1","Агенты А.Н.К.Л.",
"971","1","Оружейный барон",
"972","1","Маленькие женщины",
"975","1","Догма",
"977","1","Перелом",
"978","1","Мстители: Финал",
"979","1","Неадекватные люди",
"1009","1","Берегись автомобиля",
"1022","1","Невероятные приключения итальянцев в России",
"1023","1","Похождения императора",
"1025","1","Морозко",
"1052","1","Мимино",
"1064","1","Особенности национальной охоты",
"1075","1","101 далматинец",
"1081","1","Добрыня Никитич и Змей Горыныч",
"1084","1","Самая обаятельная и привлекательная",
"1096","1","Жил-был пёс",
"1116","1","Лило и Стич",
"1149","1","Трое из Простоквашино",
"1164","1","Белое солнце пустыни",
"1184","1","Свадьба в Малиновке",
"1236","1","Самогонщики",
"1255","1","Тайна третьей планеты",
"1274","1","Зима в Простоквашино",
"1305","1","Винни Пух",
"1411","1","Лука",
"1481","1","История игрушек 2",
"1485","1","Такси 2",
"1501","1","Мышиная охота",
"1505","1","Крепкий орешек 2",
"1514","1","Индиана Джонс и Храм судьбы",
"1517","1","Майор Пэйн",
"1518","1","Золотой телёнок",
"1545","1","Не может быть!",
"1549","1","Форма голоса",
"1550","1","Человек с бульвара Капуцинов",
"1555","1","Доспехи Бога",
"1585","1","Гараж",
"1605","1","Три плюс два",
"1653","1","Карнавальная ночь",
"1740","1","Каникулы в Простоквашино",
"1744","1","Бременские музыканты",
"1774","1","Вовка в Тридевятом царстве",
"1837","1","Малыш и Карлсон",
"1945","1","Полосатый рейс",
"1976","1","Летучий корабль",
"1980","1","Сверхъестественное",
"1981","1","Бесстыжие",
"1982","1","Рик и Морти",
"1983","1","Теория большого взрыва",
"1984","1","Ходячие мертвецы",
"1985","1","Викинги",
"1986","1","Во все тяжкие",
"1987","1","Шерлок",
"1988","1","Дневники вампира",
"1989","1","Доктор Хаус",
"1990","1","Острые козырьки",
"1991","1","Черное зеркало",
"1992","1","Остаться в живых",
"1993","1","Метод",
"1994","1","Очень странные дела",
"1995","1","Американская история ужасов",
"1996","1","Мандалорец",
"1997","1","Люцифер",
"1998","1","Побег",
"2000","1","Топи",
"2002","1","Ход королевы",
"2003","1","Физрук",
"2004","1","Бумажный дом",
"2005","1","Доктор Кто",
"2006","1","Флэш",
"2007","1","Метод 2",
"2008","1","Как я встретил вашу маму",
"2009","1","Клиника",
"2011","1","Интерны",
"2013","1","Полицейский с Рублёвки",
"2014","1","Проект «Анна Николаевна»",
"2015","1","Отчаянные домохозяйки",
"2016","1","Ведьмак",
"2018","1","Беспринципные",
"2021","1","Твин Пикс",
"2023","1","Однажды в сказке",
"2024","1","Симпсоны",
"2025","1","Касл",
"2026","1","Пацаны",
"2027","1","Великолепный век",
"2028","1","Менталист",
"2029","1","Офис",
"2030","1","Обмани меня",
"2033","1","Гримм",
"2034","1","Аббатство Даунтон",
"2036","1","Лучше звоните Солу",
"2039","1","Тьма",
"2040","1","Настя, соберись!",
"2041","1","Мажор",
"2042","1","Гравити Фолз",
"2043","1","Засланец из космоса",
"2045","1","Кости",
"2046","1","Реальные пацаны",
"2047","1","Ганнибал",
"2048","1","Спартак: Кровь и песок",
"2049","1","Табу",
"2050","1","Голяк",
"2051","1","Блудливая Калифорния",
"2052","1","Харли Квинн",
"2053","1","Бригада",
"2057","1","Южный Парк",
"2062","1","Последний министр",
"2063","1","Чудотворцы",
"2067","1","Зачарованные",
"2072","1","Наследие",
"2073","1","Секретные материалы",
"2078","1","Древние",
"2083","1","Чернобыль: Зона отчуждения",
"2085","1","СашаТаня",
"2089","1","Водоворот",
"2090","1","Атака титанов",
"2091","1","Гриффины",
"2092","1","Открытие ведьм",
"2093","1","Вечность",
"2094","1","Маша и Медведь",
"2103","1","Ольга",
"2104","1","Молодой Папа",
"2108","1","Тетрадь смерти",
"2109","1","Аватар: Легенда об Аанге",
"2114","1","Время приключений",
"2115","1","Смешарики. Новый сезон",
"2121","1","Новичок",
"2125","1","Ликвидация",
"2127","1","Воронины",
"2130","1","Домашний арест",
"2132","1","Академия «Амбрелла»",
"2135","1","Постучись в мою дверь",
"2140","1","Губка Боб квадратные штаны",
"2153","1","Мастер и Маргарита",
"2156","1","По ту сторону изгороди",
"2160","1","Йеллоустоун",
"2161","1","Футурама",
"2166","1","За час до рассвета",
"2181","1","Закрытая школа",
"2190","1","Манифест",
"2193","1","Слуга народа",
"2198","1","Крайний космос",
"2215","1","Леди Баг и Супер-кот",
"2225","1","Уэйн",
"2226","1","Пёс",
"2244","1","Смешарики",
"2257","1","Сваты",
"2268","1","Место встречи изменить нельзя",
"2296","1","Фиксики",
"2299","1","Грозовые ворота",
"2300","1","Ну, погоди!",
"2309","1","Игра в кальмара",
"2352","1","Человек-паук",
"2365","1","Папик",
"2377","1","Звёздная принцесса и силы зла",
"2382","1","Семнадцать мгновений весны",
"2411","1","Чип и Дейл спешат на помощь",
"2438","1","Три кота",
"2588","1","Локи",
"2605","1","Утиные истории",
"744","1","Ширли-мырли",
"2619","1","Вампиры средней полосы",
"2665","1","Приключения Электроника",
"2666","1","Буба",
"2730","1","Ми-ми-мишки",
"2780","1","Участок",
"2835","1","Аркейн",
"2888","1","Вечный зов",
"2954","1","Дальнобойщики",
"3034","1","Сваты 2",
"3309","1","Нулевой пациент",
"3328","1","Простоквашино",
"3544","1","Смешарики: ПинКод",
"3824","1","Закрыть гештальт",
"3832","1","Будет больно",
"3933","1","Приключения кота Леопольда",
"4217","1","Котенок по имени Гав",
"4327","1","Оффлайн",
"4381","1","Заключение",
"2119","1","Любовь. Смерть. Роботы",
"923","1","Суперсемейка",
"2010","1","Сотня",
"417","1","Того",
"578","1","Банды Нью-Йорка",
"222","1","Большая игра",
"1912","1","Спортлото-82",
"3415","1","Северные воды",
"2200","1","Крах",
"2194","1","Мир! Дружба! Жвачка!",
"2290","1","Идиот",
"1634","1","Эрнест и Селестина: Приключения мышки и медведя",
"581","1","Ангел-А",
"2107","1","Лютер",
"510","1","Человек с Земли",
"2349","1","Тест на беременность",
"919","1","25-й час",
"2221","1","Великолепный век. Империя Кёсем",
"272","1","Укрась прощальное утро цветами обещания",
"2615","1","По законам военного времени",
"1262","1","Деловые люди",
"1092","1","Беспредел",
"1495","1","Пес-призрак: Путь самурая",
"1150","1","Республика ШКИД",
"44","1","Танцующий с волками",
"2201","1","Счастливы вместе",
"736","1","Дорога перемен",
"3145","1","Масяня",
"2096","1","Корона",
"452","1","Эд Вуд",
"769","1","Пряности и страсти",
"613","1","Беглец",
"2426","1","ИП Пирогова",
"988","1","Миссис Даутфайр",
"350","1","Идеальный дворец Фердинанда Шеваля",
"752","1","Кубо. Легенда о самурае",
"2118","1","Измены",
"2120","1","Бруклин 9-9",
"2223","1","Роковой патруль",
"682","1","Отчаянный",
"1101","1","Митчеллы против машин",
"3445","1","Последний аксель",
"2207","1","Супергёрл",
"118","1","Таксист",
"3947","1","Амфибия",
"155","1","Писатели свободы",
"2001","1","Форс-мажоры",
"1148","1","Приключения Флика",
"2079","1","Сексуальное просвещение",
"3881","1","Обоюдное согласие",
"965","1","Тренер",
"594","1","Невозможное",
"2131","1","Дивный новый мир",
"1135","1","Волчьи дети Амэ и Юки",
"1231","1","В лес, где мерцают светлячки",
"2179","1","Оранжевый — хит сезона",
"217","1","Зловещие мертвецы 3: Армия тьмы",
"1556","1","Персона",
"2679","1","Новый Амстердам",
"1059","1","Вердикт за деньги",
"2070","1","Эпидемия",
"2295","1","Мистер Мерседес",
"164","1","Побег из тюрьмы: Финальный побег",
"2142","1","Десятое королевство",
"920","1","Народ против Ларри Флинта",
"2102","1","257 причин, чтобы жить",
"2333","1","Деффчонки",
"322","1","Клерки",
"1391","1","Наруто 9: Путь ниндзя",
"2254","1","Книжный магазин Блэка",
"2801","1","Алое сердце",
"1383","1","Бумажный роман",
"1502","1","Иваново детство",
"1227","1","Земля: Один потрясающий день",
"405","1","Мосты округа Мэдисон",
"961","1","Набережная Орфевр, 36",
"2674","1","Жёлтый глаз тигра",
"1900","1","Южный Парк: Большой, длинный, необрезанный",
"2341","1","Мылодрама",
"2570","1","Альф",
"728","1","Пи",
"2367","1","Звездные врата: ЗВ-1",
"445","1","Приключения Флика",
"260","1","Секреты Лос-Анджелеса",
"2170","1","Сообщество",
"780","1","Персонаж",
"2644","1","Вся правда о медведях",
"394","1","День радио",
"2402","1","Убойная сила",
"2133","1","Бриджертоны",
"2066","1","Мыслить как преступник",
"931","1","Вавилон",
"1616","1","Ценности семейки Аддамс",
"2110","1","Гордость и предубеждение",
"3836","1","Сказочный патруль. Хроники чудес",
"1568","1","Пришельцы",
"1713","1","Три тополя на Плющихе",
"1407","1","Зигзаг удачи",
"2076","1","Нарко",
"4143","1","Дороро",
"447","1","Разборки в стиле кунг-фу",
"723","1","Дэнни Цепной пес",
"2056","1","Грань",
"150","1","Самый быстрый Indian",
"2022","1","Бывшие",
"953","1","Париж, я люблю тебя",
"2017","1","Сплетница",
"2394","1","Хороший человек",
"2337","1","Легенда о Корре",
"600","1","Наруто 9: Путь ниндзя",
"2392","1","Апостол",
"2204","1","Джессика Джонс",
"2271","1","Две девицы на мели",
"2035","1","Люпен",
"2058","1","Родина",
"936","1","Королевский роман",
"2128","1","Оно",
"1649","1","Аты-баты, шли солдаты...",
"469","1","Пожары",
"934","1","История о супружестве",
"2368","1","Воскресший Эртугрул",
"4311","1","Оранжевая корова",
"1174","1","Кукушка",
"2129","1","Озарк",
"2100","1","Универ. Новая общага",
"684","1","Последний бойскаут",
"863","1","Митчеллы против машин",
"2188","1","Проповедник",
"2460","1","Тед Лассо",
"2164","1","Хор",
"4004","1","Истребители: Последний бой",
"1778","1","Огонь, вода и ... медные трубы",
"1422","1","Королевство кривых зеркал",
"1222","1","Бинго Бонго",
"654","1","Беги без оглядки",
"2559","1","BadComedian",
"2146","1","Война и мир",
"2117","1","Судьба: Сага клуба Винкс",
"719","1","Сейчас самое время",
"1142","1","Чучело",
"968","1","Прогулка",
"1041","1","Маска Зорро",
"1849","1","Гусарская баллада",
"196","1","Дрянная девчонка",
"665","1","Голгофа",
"980","1","Я остаюсь",
"1216","1","Неуловимые мстители",
"2220","1","Удивительная миссис Мейзел",
"2799","1","Черепашки мутанты ниндзя",
"2621","1","Волейбол!!",
"1486","1","Асса",
"2287","1","Война и мир",
"1704","1","Высокий блондин в черном ботинке",
"2319","1","Королевы крика",
"1526","1","Тайна Келлс",
"2507","1","Электрические сны Филипа К. Дика",
"792","1","Дневник баскетболиста",
"854","1","Гуд бай, Ленин!",
"1091","1","Доживем до понедельника",
"2080","1","Мост",
"418","1","Путь Карлито",
"2610","1","Девушки с Макаровым",
"1516","1","За пригоршню долларов",
"870","1","Кэнди",
"715","1","Королевская битва",
"676","1","Утомленные солнцем",
"319","1","Пеликан",
"392","1","Свой человек",
"1882","1","Я шагаю по Москве",
"533","1","Воровка книг",
"2308","1","И повсюду тлеют пожары",
"2668","1","Остров ненужных людей",
"1623","1","Мастер меча",
"2336","1","След",
"498","1","Сибирский цирюльник",
"424","1","Совершенный мир",
"1001","1","Пеле: Рождение легенды",
"607","1","Разум и чувства",
"1898","1","Снежная королева",
"916","1","Я видел дьявола",
"2312","1","Болотная тварь",
"2969","1","Темный дворецкий",
"711","1","Горе-творец",
"2491","1","Куми-Куми",
"1414","1","Маршалл",
"546","1","Невезучие",
"2525","1","Гостья из будущего",
"302","1","Куда приводят мечты",
"223","1","Ип Ман 2",
"1083","1","Принц Египта",
"2060","1","11.22.63",
"869","1","Джули и Джулия: Готовим счастье по рецепту",
"2097","1","Тюдоры",
"139","1","Три идиота",
"2229","1","Иванько",
"3102","1","Легенда синего моря",
"1129","1","Кунг Фьюри",
"2283","1","Перевал",
"531","1","Рыжий пес",
"2199","1","Последнее королевство",
"2428","1","Патриот",
"2227","1","Стыд",
"513","1","Семь лет в Тибете",
"2453","1","Компьютерщики",
"1583","1","Паприка",
"3487","1","Алиби",
"2396","1","Мосгаз",
"3548","1","Непобедимый",
"621","1","Волшебная страна",
"2278","1","Разочарование",
"521","1","Джон Кью",
"2638","1","Код Гиас: Восставший Лелуш",
"1464","1","Фантомас разбушевался",
"2214","1","Убийство на пляже",
"874","1","Агора",
"983","1","Звезда",
"1008","1","Вий",
"1521","1","Сахар",
"2086","1","Убийство",
"2516","1","Дживс и Вустер",
"2286","1","Нормальные люди",
"495","1","Небесный суд",
"2809","1","Потомки солнца",
"2218","1","Потерянная комната",
"2138","1","Это мы",
"1938","1","Проверка на дорогах",
"1571","1","Выпускник",
"385","1","Время убивать",
"1240","1","Королева бензоколонки",
"2020","1","Пространство",
"778","1","Прирожденные убийцы",
"80","1","Звездочки на земле",
"2055","1","Светлячок",
"1286","1","Человек-амфибия",
"2773","1","Султан моего сердца",
"1703","1","Приходите завтра...",
"795","1","Мертвец",
"2408","1","Мотыльки",
"1028","1","Весна на Заречной улице",
"2340","1","Конь БоДжек",
"1742","1","Она видела небо",
"696","1","Это — Англия",
"666","1","Юнайтед. Мюнхенская трагедия",
"1607","1","Динозавр",
"2314","1","Все ненавидят Криса",
"2865","1","Хилер",
"2541","1","Беги!",
"1007","1","Ловцы забытых голосов",
"2522","1","Меломанка",
"2328","1","Любовницы",
"1493","1","Академия смерти",
"2187","1","Борджиа",
"2242","1","Парки и зоны отдыха",
"710","1","Не/смотря ни на что",
"2372","1","Ханна Монтана",
"2457","1","Коломбо",
"830","1","Донни Браско",
"1209","1","Ва-банк",
"1800","1","Будьте моим мужем",
"939","1","Это чертово сердце",
"2454","1","Нюхач",
"1878","1","Москва – Кассиопея",
"2176","1","Мерлин",
"494","1","Сад изящных слов",
"92","1","Страшилы",
"328","1","Эксперимент",
"1658","1","Белль и Себастьян",
"3612","1","Машкины страшилки",
"1553","1","На север через северо-запад",
"290","1","Весна, лето, осень, зима... и снова весна",
"2923","1","Хрустальный",
"563","1","За облаками",
"1597","1","Коты-аристократы",
"2313","1","Екатерина",
"915","1","Пришельцы",
"2534","1","Штрафбат",
"777","1","Лиля навсегда",
"1151","1","Книга джунглей",
"459","1","Гадкий я 2",
"2391","1","Дом совы",
"1944","1","Радио",
"2834","1","Малышарики",
"767","1","Дорога на Арлингтон",
"831","1","Класс",
"2398","1","Ищейка",
"2112","1","Универ",
"2253","1","Санта-Барбара",
"2374","1","Первые ласточки",
"1482","1","Горячие головы",
"822","1","Переговорщик",
"2228","1","Штамм",
"2157","1","Новенькая",
"707","1","Футурама: Большой куш Бендера!",
"461","1","Часы",
"2673","1","Сэндитон",
"2288","1","Звездные врата: Атлантида",
"804","1","Тренировочный день",
"1182","1","Белые росы",
"1019","1","Рыжий пес",
"94","1","С меня хватит!",
"382","1","Филадельфия",
"1198","1","Золушка",
"2071","1","Белый воротничок",
"2167","1","Восьмое чувство",
"411","1","Доспехи Бога 2: Операция Кондор",
"331","1","Кука",
"2864","1","Эй, Арнольд!",
"2270","1","Каратель",
"2134","1","Игра на выживание",
"207","1","Опустевший город",
"900","1","Академия смерти",
"1716","1","Классик",
"1415","1","Смерть на Ниле",
"2384","1","Новый Папа",
"206","1","Матч поинт",
"610","1","Цветы войны",
"2826","1","Куртизанки",
"2400","1","Пока цветет папоротник",
"1538","1","Рок-н-рольщики",
"2077","1","Молокососы",
"2696","1","Самурай Джек",
"2561","1","Диверсант 2: Конец войны",
"2724","1","Большая перемена",
"1089","1","Расправь крылья",
"627","1","Миссис Даутфайр",
"935","1","Уличный кот по кличке Боб",
"2301","1","Патрик Мелроуз",
"2064","1","Оборотень",
"329","1","Бэтмен: Под колпаком",
"2261","1","Мажор 3",
"2569","1","Академия смерти",
"1220","1","Калина красная",
"375","1","Рыбка Поньо на утесе",
"787","1","Пророк",
"1999","1","Карточный домик",
"425","1","Девочка, покорившая время",
"1058","1","Птицы",
"1301","1","Не могу сказать «прощай»",
"2206","1","Дикий ангел",
"2568","1","Ван-Пис",
"640","1","Бартон Финк",
"3375","1","Любимый во Франксе",
"904","1","Малена",
"832","1","Аризонская мечта",
"137","1","Всегда",
"732","1","Всё ещё Элис",
"106","1","Ип Ман",
"2528","1","Шторм",
"1079","1","Карлсон вернулся",
"1015","1","Бриллиантовый полицейский",
"2356","1","H2O: Просто добавь воды",
"1662","1","Смертельное оружие 3",
"1161","1","Тихий Дон",
"2124","1","Легенды завтрашнего дня",
"2191","1","Восьмидесятые",
"981","1","Свет вокруг",
"1330","1","Жандарм из Сен-Тропе",
"1504","1","Гуд бай, Ленин!",
"1366","1","Дамбо",
"2324","1","Ванпанчмен",
"1424","1","За спичками",
"1661","1","Горячие головы 2",
"1068","1","Разборки в стиле кунг-фу",
"1839","1","Старики-разбойники",
"267","1","Крестный отец 3",
"2327","1","Детективное агентство Дирка Джентли",
"2550","1","Есенин",
"2105","1","Охотник за разумом",
"2106","1","Страшные сказки",
"414","1","Собачья жизнь 2",
"1496","1","Геркулес",
